,title,link,votes
0,Installing a payphone in my house,https://bert.org/2022/06/02/payphone/,1002
1,VSCodium – Free/Libre Open Source Software Binaries of VS Code,https://vscodium.com/,657
2,"Rust Is Hard, Or: The Misery of Mainstream Programming",https://hirrolot.github.io/posts/rust-is-hard-or-the-misery-of-mainstream-programming.html,498
3,"Show HN: I restored Palm's webOS App Catalog, SDK and online help system",https://www.webosarchive.com,405
4,Dangerous Gift,https://www.tbray.org/ongoing/When/202x/2022/06/02/Dangerous-Gift,308
5,Confess your love with zero-knowledge,https://www.zkcrush.xyz/,279
6,Classified specs leaked on War Thunder forum for third time,https://ukdefencejournal.org.uk/classified-specs-leaked-on-war-thunder-forum-for-third-time/,259
7,Shimano Forces Hammerhead to Remove All Di2 Related Functionality From Karoo,https://www.dcrainmaker.com/2022/05/shimano-forces-hammerhead-to-remove-all-di2-related-functionality-from-karoo.html,246
8,Ceiling Air Purifier,https://www.jefftk.com/p/ceiling-air-purifier,245
9,Async Rust doesn't have to be hard,https://itsallaboutthebit.com/async-simple/,226
10,My Mega65 has arrived,https://www.epsilonsworld.com/2022/05/my-mega-65-has-arrived.html,209
11,WorldWideWeb.app,https://blog.iconfactory.com/2022/06/worldwideweb-part-2/,201
12,Yep: Google alternative that shares revenue with creators – by Ahrefs,https://yep.com,194
13,40k coin tosses yield ambiguous evidence for dynamical bias,https://www.stat.berkeley.edu/~aldous/Real-World/coin_tosses.html,173
14,Don't send to Gmail over IPv6,https://www.spamresource.com/2020/11/honestly-dont-send-to-gmail-over-ipv6.html,156
15,What a gas stove ban means for restaurants,https://www.latimes.com/food/story/2022-06-02/gas-stove-ban-chinese-korean-bbq-electric-new-buildings-restaurants-future,151
16,Americans are poorly served by their grocery stores,https://www.economist.com/united-states/2022/06/02/why-americans-are-poorly-served-by-their-grocery-stores,129
17,Show HN: Fast Deep Reinforcement Learning Course,https://courses.dibya.online/p/fastdeeprl,128
18,GPT-4chan,https://gpt-4chan.com/,119
19,"The last Howard Johnson's restaurant closes in Lake George, N.Y.",https://www.washingtonpost.com/travel/2022/06/02/last-howard-johnson-restaurant-closes/,106
20,Semantle: guess words based on Word2vec similarity scores,https://semantle.com/,104
21,Brain-signal proteins evolved before animals did,https://www.quantamagazine.org/brain-signal-proteins-evolved-before-animals-did-20220603/,103
22,Software Library: MS-DOS Games,https://archive.org/details/softwarelibrary_msdos_games,100
